id;fname;author;title
107;Amirrezvani, Anita - Dochter van Isfahan.txt;Anita Amirrezvani;Dochter van Isfahan / druk 1
108;ammaniti, niccole - ik ben niet bang.txt;Niccollo Ammaniti;Ik ben niet bang
109;Ammaniti, Niccollo - Laat het feest beginnen!.txt;Niccollo Ammaniti;Laat het feest beginnen!
110;Ammaniti, Niccollo -Zo God het Wil.txt;Niccollo Ammaniti;Zo god het wil
111;Ammaniti, Niccolo - Ik haal je op, ik neem je mee.txt;Niccollo Ammaniti;Ik haal je op, ik neem je mee
112;Ammaniti, Nicolo en Manzani Antonio - jij bent mijn schat.txt;Niccollo Ammaniti;jij bent mijn schat
113;Amundsen, Roald - Aan de Zuidpool.txt;Roald Amundsen;Aan de Zuidpool / De Aarde en haar Volken, 1913
114;Andersen, Hans Christian - Andersens Sproken En Vertellingen.txt;Hans Christian Andersen;Andersens Sproken en vertellingen / Morgenrood
115;Andersens Sproken en vertellingen _ Morgenrood - H. C. Andersen.txt;Hans Christian Andersen;Andersens Sproken en vertellingen / Morgenrood
116;Anderson, Poul - Avontuur in het verleden.txt;Poul Anderson;Avontuur in het Verleden
117;Anderson, Poul - Een gok om drie werelden.txt;Poul Anderson;Een gok om drie werelden
118;Anderson, Poul - Komt Tijd.txt;Poul Anderson;Komt Tijd
119;Anderson, Poul - Tunnels door de Tijd.txt;Poul Anderson;Tunnels door de Tijd
120;Anderson, Poul - Vlaag van verstand.txt;Poul Anderson;Vlaag van verstand
121;Andrews, Virginia - Bloemen op zolder.txt;Virginia Andrews;Bloemen op zolder
122;Andrews, Virginia - Het Zaad Van Gisteren.txt;Virginia Andrews;Het zaad van gisteren
123;Anscombe, Roderick - De bekentenis.txt;Roderick Anscombe;De bekentenis
124;Apotheker, Henk - De Turkenflat.txt;Henk Apotheker;De Turkenflat
125;Appel, Rene - Als broer en zus.txt;René Appel;Als broer en zus
126;Appel, Rene - De echtbreker.txt;René Appel;De echtbreker
127;Appel, Rene - Doorgeschoten.txt;René Appel;Doorgeschoten
128;Appel, Rene - Los geld.txt;René Appel;Los Geld
129;Appel, Rene - Misbruik wordt gestraft.txt;René Appel;Misbruik Wordt Gestraft
130;Appel, Rene - Schone Handen.txt;René Appel;Schone Handen
131;Appel, Rene - Van Twee Kanten.txt;René Appel;Van twee kanten
132;Appel, Rene - Weerzin.txt;René Appel;Weerzin
133;Appignanesi, Lisa - Dromen in onschuld.txt;Lisa Appignanesi;Dromen in onschuld
134;Appleyard, Diana - Sasha's minnaar.txt;Diana Appleyard;Sasha's minnaar
135;Arends, Jan - Ik Had Een Strohoed En Een Wandelstok.txt;Jan Arends;Ik had een strohoed en een wandelstok
136;Arion, Frank Martinus - Dubbelspel.txt;Frank Martinus Arion;Dubbelspel
137;Arisman, Thom - Mr. Single.txt;Thom Arisman;Mr. Single / druk 1
138;Arisman, Thom - Single van beroep.txt;Thom Arisman;Single van beroep
139;Arisman, Thom - Thom Single Man.txt;Thom Arisman;Thom Single Man / druk 1
140;Armstrong, Adam - Het zandpaard.txt;Adam Armstrong;Het zandpaard
141;Armstrong, Kelly - Bezwering.txt;Kelly Armstrong;Bezwering
142;Arnold, Judith - het hart van riverbend.txt;Judith Arnold;Het hart van riverbend
143;Asher, Bridget - De damesparade.txt;Bridget Asher;De damesparade / druk 1
144;Asher, Bridget - Doe maar alsof.txt;Bridget Asher;Doe maar alsof
145;Asimov, Isaac  - Caliban deel 1.txt;Roger MacBride Allen;Caliban - deel 1
146;Asimov, Isaac - De Blote Zon.txt;Isaac Asimov;De Blote Zon
