filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
"Roos de, H. - Kameleon 22 - De Kameleon staat voor niets!",,,,,,,,,
"Bushnell, Candace - Lipstick Jungle","9789044610482,9044610481,9789044610482",67398,Bushnell,Literaire fictie algemeen,dut,9789044610482,300,Lipstick jungle,"Bushnell, Candace - Lipstick Jungle.xml"
"MacFayden, Cody - In het duister",,,,,,,,,
"Bosboom Toussaint, A - Frits Millioen en zijne vrienden",,,,,,,,,
"Gerritsen,  Carel Victor - Brieven uit en over Amerika",,,,,,,,,
escober-chaos,,,,,,,,,
22 - Indiana Jones en de holle aarde - Max McCoy,,,,,,,,,
Graaf Leo Tolstoy - Anna Karenina,,,,,,,,,
"Bevarly, Elisabeth - Een nieuwe ring",,,,,,,,,
"Dekker, Riek - Mijn Verhaal - Zeilmeisje Laura Dekker","9789059610880,9059610881,9789059610880",254939,Dekker,"Waargebeurde verhalen,Non-fictie Vrije tijd/algemeen",dut,9789059610880,402,Zeilmeisje Laura Dekker,"Dekker, Riek - Mijn Verhaal - Zeilmeisje Laura Dekker.xml"
Het loterijbriefje - Jules Verne,,,,,,,,,
"Djavann, Chahdortt - De Zwijgster",,,,,,,,,
"Carmiggelt, Simon - Kroeglopen 2",,,,,,,,,
"Rankin, Ian - Interne Zaken","9789024532728,9024532728,9789024532728",155419,Rankin,"Literaire thriller,Literaire fictie algemeen",dut,9789024532728,305,Interne zaken,"Rankin, Ian - Interne Zaken.xml"
"Rhodan, Perry - 0151 - Signalen uit de eeuwigheid",,,,,,,,,
"MacLean, Alistair - De mannen van Navarone",,,,,,,,,
Bejamins bruid - Yvonne Keuls,"9789041413918,904141391X,9789041413918;9789041415554,9041415556,9789041415554",43148,Keuls,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789041415554,301,Benjamins bruid,Bejamins bruid - Yvonne Keuls-1.xml
"Vance, Jack - Trullion sterrenwereld 2262",,,,,,,,,
"Rhodan, Perry - 0184 - Gucky en de blauwe garde",,,,,,,,,
"Heide van der, Willy - Drie jongens vertrekken naar Buenos Aire",,,,,,,,,
"Waris, Dirie - Onze Verborgen Tranen","9058313727,9058313727,9789058313720",62452,Dirie,"Waargebeurde verhalen,Non-fictie Vrije tijd/algemeen",dut,9789058313720,402,Onze verborgen tranen,"Waris, Dirie - Onze Verborgen Tranen.xml"
Zuiver van hart - Susan Hill,"9024551803,9024551803,9789024551804",219606,Hill,"Literaire thriller,Literaire fictie algemeen",dut,9789024551804,305,Zuiver van hart,Zuiver van hart - Susan Hill.xml
"Aust, Stefan - De Lokvogel","9789048807789,9048807786,9789048807789",213889,Aust,"Literaire thriller,Literaire fictie algemeen",dut,9789048807789,305,De Lokvogel,"Aust, Stefan - De Lokvogel.xml"
"Donck, Carel - De nachtmoeder","9789029568210,9029568216,9789029568210",108316,Donck,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789029568210,301,De nachtmoeder,"Donck, Carel - De nachtmoeder.xml"
"Rhodan, Perry - 0322 - Een reus ontwaakt",,,,,,,,,
"Simenon, Georges - De pijp van Maigret",,,,,,,,,
Onderwereld PR - Bart Middelburg,,,,,,,,,
Vals licht - Joost Zwagerman,"9789029568333,902956833X,9789029568333",62202,Zwagerman,"Pockets literaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789029568333,311,Vals licht,Vals licht - Joost Zwagerman.xml
"May, Julian - De gouden halsring","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2683540736,2683540736,9782683540738;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110;0268435456,0268435456,9780268435455",,,,,,,,"May, Julian - De gouden halsring-2.xml"
"MacDonald, Gregory - Fletch En Moxie","9024508274,9024508274,9789024508273",517208,McDonald,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789024508273,302,Fletch en Moxie,"MacDonald, Gregory - Fletch En Moxie.xml"
"Dorrestein, Renate - Echt sexy","9789025416249,9025416241,9789025416249;9789025425265,9025425267,9789025425265",40266,DORRESTEIN,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025416249,301,Echt sexy,"Dorrestein, Renate - Echt sexy.xml"
"Simenon, Georges - (1968) Maigret aarzelt (Maigret hésite)",,,,,,,,,
"Burroughs, Edgar Rice - Tarzan en de Rode Ster",,,,,,,,,
"MacCall Smith, Alexander - Het grote boek van Hanneke Bloem",,,,,,,,,
Wieringa  Tommy - Joe Speedboot,"9789023455493,9023455495,9789023455493",34782,Wieringa,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023455493,301,Joe Speedboot,Wieringa  Tommy - Joe Speedboot.xml
"Heide van der, Willy - Buikmans brengt redding",,,,,,,,,
00156 De Geur Van Regen,"9789041415646,9041415645,9789041415646",89300,Dijkzeul,"Literaire thriller,Literaire fictie algemeen",dut,9789041415646,305,De geur van regen,00156 De Geur Van Regen.xml
"King, Stephen - (1983) Dodenwake (Pet Sematary)","4965613627,4965613627,9784965613628;2145233822,2145233822,9782145233826;9024545595,9024545595,9789024545599;5512125222,5512125222,9785512125229;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;2693455243,2693455243,9782693455244;2145361111,2145361111,9782145361116;2160311111,2160311111,9782160311110;2145251111,2145251111,9782145251110;1111111111,1111111111,9781111111113;2116972582,2116972582,9782116972587;3972347243,3972347243,9783972347243;2117634222,2117634222,9782117634224;2116901111,2116901111,9782116901112;2462555234,2462555234,9782462555236;2054730203,2054730203,9782054730201;4655622210,4655622210,9784655622213;2360011111,2360011111,9782360011117;4252772222,4252772222,9784252772229;2155222432,2155222432,9782155222438;2776861524,2776861524,9782776861528;3492458386,3492458386,9783492458382",6043,King,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789024545599,330,Dodenwake,"King, Stephen - (1983) Dodenwake (Pet Sematary)-2.xml"
"Rhodan, Perry - 0468 - De Telekineet",,,,,,,,,
"Vance, Jack - Tschai - Deel 2 - Onder de Wankh",,,,,,,,,
Op zwart,"9789048812783,904881278X,9789048812783",250695,Bosch,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789048812783,301,Op zwart,Op zwart.xml
Zonder tijd te verliezen,"9789023488354,9023488350,9789023488354",224816,Heerma van Voss,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023488354,301,Zonder tijd te verliezen,Zonder tijd te verliezen.xml
De donkere kant van de maan - M. Suter,,,,,,,,,
"Heide, Willy van der - Filmavontuur voor Arie Roos",,,,,,,,,
"Elbers, Georg - Eene Egyptische Koningsdochter",,,,,,,,,
Tula,"9789491259869,9491259865,9789491259869;9789054293408,9054293403,9789054293408",256022,Leinders,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789491259869,301,Tula,Tula.xml
Tijd om te sterven - Cody Mcfadyen,,,,,,,,,
"Rhodan, Perry - 0457 - De operatiebasis",,,,,,,,,
"Baantjer, A C - 25 De Cock en Moord Op De Bloedberg","9789026125171,9026125178,9789026125171",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026125171,331,De Cock en moord op de Bloedberg,"Baantjer, A C - 25 De Cock en Moord Op De Bloedberg.xml"
"Merryl, Lou - Jo Durand Serie 2 Deel 18 - De Geheimen van Miss Strip-Teasel",,,,,,,,,
"Roos de, H. - Kameleon 11 - De Kameleon In De Branding",,,,,,,,,
"Ketner, Ph. J. - Een kijkje op de tentoonstelling te Mila",,,,,,,,,
"Asimov, Isaac - De zwarte weduwnaars",,Asimov,,,,,,,
Liefde heeft geen hersens,"9789045021799,904502179X,9789045021799",40098,Keulen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789045021799,301,Liefde heeft geen hersens,Liefde heeft geen hersens.xml
"Ford, Richard - De stand van zaken","9789025431129,9025431127,9789025431129",40338,Ford,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789025431129,302,De stand van zaken,"Ford, Richard - De stand van zaken.xml"
"Boersma, Marielle - De babymakelaar","9789461090102,9461090102,9789461090102;9789461090096,9461090099,9789461090096;9789461090133,9461090137,9789461090133;9789461090089,9461090080,9789461090089;9789461090126,9461090129,9789461090126;9789461090119,9461090110,9789461090119",132872,Boersma,"Literaire thriller,Literaire fictie algemeen",dut,9789461090126,305,De babymakelaar,"Boersma, Marielle - De babymakelaar-4.xml"
"Cookson, Catharine - Tilly Trotter 1- liefde als leidraad","9022529681,9022529681,9789022529683",32348,Cookson,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022529683,312,Parelpockets Liefde als leidraad,"Cookson, Catharine - Tilly Trotter 1- liefde als leidraad.xml"
Totaal6,,Giphart,,,,,,,
"Sinclair, John - Goeroe van het kwaad",,,,,,,,,
"Haan, Jacob Israel de - Jerusalem",,,,,,,,,
"Verkerk, Anita - (2009) Heimwee naar Lanzarote",,,,,,,,,
"Barclay, Linwood - Vrees Het Ergste",,,,,,,,,
"Dixon, Franklin - De Krassende Uil","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110",,,,,,,,"Dixon, Franklin - De Krassende Uil-4.xml"
"Deckers, Daphne - De geboorte van een moeder","9789043910392,9043910392,9789043910392;9789043912464,9043912468,9789043912464;9789043908290,9043908290,9789043908290;9789043910866,9043910864,9789043910866;9789043901666,9043901660,9789043901666;9789043908283,9043908282,9789043908283",63822,Deckers,"Zwangerschap en geboorte,Zwangerschap en opvoeding algemeen (populair),Bedrijfskunde algemeen",dut,9789043912464,851,De geboorte van een moeder,"Deckers, Daphne - De geboorte van een moeder-1.xml"
"Giuttari, Michele - Scarabeo",,,,,,,,,
"Brown, Dan - Het verloren symbool",,,,,,,,,
Zwarte kant,"9789029585217,9029585218,9789029585217;9789029584937,9029584939,9789029584937",91278,Kisling,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789029585217,301,Zwarte kant,Zwarte kant.xml
Gevoel en verstand - Jane Austen,,,,,,,,,
Dorst,"9789044525199,9044525190,9789044525199",65036,Gerritsen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789044525199,301,Dorst,Dorst.xml
"Foster, Lori - Verleidelijk lessen",,,,,,,,,
"Baldacci, David - (2000) Nachtwerk (Office Hours)",,,,,,,,,
"Roos de, H. - Kameleon 14 - De Kameleon wint de prijs!",,,,,,,,,
"Niven, Larry - Ringwereld","9029041854,9029041854,9789029041850",38326,NIVEN,Non-boeken algemeen,dut,9789029041850,000,RINGWERELD,"Niven, Larry - Ringwereld.xml"
"Andrews, Virginia - Willow 5-Verborgen Blad","9789032510879,9032510878,9789032510879",53720,Andrews,"Griezel- en spookverhalen, horror,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789032510879,335,Verborgen blad,"Andrews, Virginia - Willow 5-Verborgen Blad.xml"
"Summer, Judith - Wie krijgt Fluffy","9789044330809,9044330802,9789044330809",454686,Summers,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789044330809,302,Wie krijgt fluffy,"Summer, Judith - Wie krijgt Fluffy.xml"
De Broederschap - John Grisham,"2116972582,2116972582,9782116972587;2155222432,2155222432,9782155222438;1627421319,1627421319,9781627421317;2118639252,2118639252,9782118639259;0268435456,0268435456,9780268435455",,,,,,,,De Broederschap - John Grisham.xml
"Brooke, Lauren - Paardenranch Heartland - Na de storm",,,,,,,,,
"Slauerhoff, J.J - Het leven op aarde",,,,,,,,,
"Aspe, Pieter - Misleid","9789022323540,9022323544,9789022323540",17552,Aspe,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022323540,330,Misleid,"Aspe, Pieter - Misleid.xml"
"Wages, Margreet - Mooie woorden",,,,,,,,,
De Zeeheks - Alistair Maclean,,,,,,,,,
00148 Het Achterhuis,,,,,,,,,
16 - Indiana Jones en de erfenis van Avalon - Wolfgang Hohlbein,,,,,,,,,
Bloedrecht - Bob Mendes,,,,,,,,,
"Mather, Berkely - 06 - Spionage in China",,,,,,,,,
De man die in rook opging - Sjowall en Wahloo,,,,,,,,,
"Michener, James A. - de reis",,,,,,,,,
"Beke, Carel - Pim Pandoer - 05 - En de groene scarabee",,,,,,,,,
"Connelly, Michael - De jacht",,,,,,,,,
Havank - Havank 09 - (1939) Hoofden op Hol,,,,,,,,,
"Hirsi Ali, Ayaan - Mijn Vrijheid",,,,,,,,,
"Cookson, Catherine - Het Geslacht Mallen 2 - (1974) Barbara","9046120465,9046120465,9789046120460",31979,COOKSON,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789046120460,312,Het geslacht Mallen,"Cookson, Catherine - Het Geslacht Mallen 2 - (1974) Barbara.xml"
Moordcommando - Alistair MacLean,"9022513238,9022513238,9789022513231",32008,MACNEILL,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022513231,312,ALISTAIR MACLEANS MOORDCOMMAND,Moordcommando - Alistair MacLean.xml
"Rhodan, Perry - 0402 - UFO's in de melkweg",,,,,,,,,
"Vervoort, Hans - Zonder dollen",,,,,,,,,
"Rhodan, Perry - 0074 - De verschrikking",,,,,,,,,
"Rhodan, Perry - 0152 - Groter dan de zon",,,,,,,,,
"Cookson, Catherine - (1959) Wolken drijven over (Fanny McBride)","9022513769,9022513769,9789022513767",31979,COOKSON,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022513767,312,WOLKEN DRIJVEN OVER (PARELPOCKET),"Cookson, Catherine - (1959) Wolken drijven over (Fanny McBride).xml"
"King, Stephen - De groene mijl 04 - De vreselijke dood van Eduard Delacroix",,,,,,,,,
"Patterson, James - Partner ruil","9789023450498,9023450493,9789023450498",126960,Patterson,"Literaire thriller,Literaire fictie algemeen",dut,9789023450498,305,Partnerruil,"Patterson, James - Partner ruil.xml"
"Palmen, Connie - De vriendschap",,,,,,,,,
"Gerritsen, Tess - De Chirurg","9051087071,9051087071,9789051087079",,,,,,,,"Gerritsen, Tess - De Chirurg.xml"
"Overduin, Carla - Opzeggen en wegwezen",,,,,,,,,
"Vermeend, Willem - De WIJ-economie","9789048805327,9048805325,9789048805327",206392,Vermeend,"Geld-/bank-/krediet- en verzekeringswezen,Economie en bedrijf algemeen,Theologie algemeen",dut,9789048805327,793,De WIJ-economie,"Vermeend, Willem - De WIJ-economie.xml"
[NL] 1988 - Matilda - Roald Dahl,,,,,,,,,
"Epskamp, Jacqueline - Stellenbosch",,,,,,,,,
"Darlton, Clark - IJswereld in vlammen",,,,,,,,,
"Hayder, Mo - Ritueel","9789085642923,9085642922,9789085642923",,,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789085642923,332,Ritueel,"Hayder, Mo - Ritueel.xml"
"Lievegoed, Maya - Zusje Van Mijn Zusje","9789066119185,9066119187,9789066119185",185555,Lievegoed,"Mens en maatschappij algemeen,Theologie algemeen",dut,9789066119185,740,Zusje van mijn zusje,"Lievegoed, Maya - Zusje Van Mijn Zusje.xml"
"Ooms, Ada - Klas van 25 hartsvriendinnen",,,,,,,,,
"Biegel, Paul - Ik Wou Dat Ik Anders Was",,,,,,,,,
"Brooks, Terry - De Kolos van Shannara",,,,,,,,,
Een strijd om de schatten van Alva of De - H. Bertrand,,,,,,,,,
"Thomese, P F - Izak",,,,,,,,,
"Dickens, Charles - Kerstverhalen",,,,,,,,,
"Van Toledo naar Granada, deel 2 _ De Aar - Jane Dieulafoy",,,,,,,,,
Roder dan Rood - Sabine Aveskamp,"9789071794780,9071794784,9789071794780",188140,AVESKAMP,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789071794780,301,RODER DAN ROOD,Roder dan Rood - Sabine Aveskamp.xml
"Taselaar, Helen - Jeugdhotel De Witte Hengst - Terug van weg geweest",,,,,,,,,
De laatste keer _ druk 1 - Kristien Hemmerechts,"9789045015552,9045015552,9789045015552",55102,Hemmerechts,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789045015552,301,De laatste keer,De laatste keer _ druk 1 - Kristien Hemmerechts.xml
Autopsie - Robin Cook,"9074336094,9074336094,9789074336093",33698,Cook,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789074336093,330,Autopsie,Autopsie - Robin Cook.xml
Indringer _ druk 1 - Patrick De Bruyn,"9789022323281,9022323285,9789022323281",215630,Bruyn,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022323281,330,Indringer,Indringer _ druk 1 - Patrick De Bruyn.xml
"Kroonenberg, Yvonne - Een ster aan het stuur","9789025433161,9025433162,9789025433161",112903,Kroonenberg,"Verhalenbundels,Literaire fictie algemeen",dut,9789025433161,303,Een ster aan het stuur,"Kroonenberg, Yvonne - Een ster aan het stuur.xml"
"Merryl, Lou - Jo Durand Serie 1 Deel 11 - Jo en de Berlijnse Muur",,,,,,,,,
"Royen, Heleen van - (2003) Godin van de jacht",,,,,,,,,
De kanonnen van Navarone-totaal - Alistair MacLean,,,,,,,,,
"He' Van Puffelen, wat denk je ervan_ - Marjan Essing","9789066118485,9066118482,9789066118485",441902,Essing,"Gezondheid algemeen,Bedrijfskunde algemeen",dut,9789066118485,860,"He van Puffelen, wat denk je ervan..","He' Van Puffelen, wat denk je ervan_ - Marjan Essing.xml"
Twee zusters,"9789023467700,9023467701,9789023467700",154387,Dullemen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023467700,301,Twee zusters,Twee zusters.xml
Engel - T. Coppers,"9789022323861,9022323862,9789022323861",73275,Coppers,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022323861,330,Engel,Engel - T. Coppers.xml
"Waal, Simon de - Pentito","9789048803453,9048803454,9789048803453",155012,Waal,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789048803453,332,Pentito,"Waal, Simon de - Pentito.xml"
"Dorrestein, Renate - Echt Sexy","9789025416249,9025416241,9789025416249;9789025416997,9025416993,9789025416997",40266,DORRESTEIN,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025416249,301,Echt sexy,"Dorrestein, Renate - Echt Sexy.xml"
"Haakman, Anton - Passage",,,,,,,,,
"Rhodan, Perry - 0211 - Geheim wapen Horror",,,,,,,,,
"Hellingman, Jeroen - Aljaska en de Canada-spoorweg",,,,,,,,,
"Oosterhuis, Huub - Jij die Mij Ik Maakt","9789025970468,902597046X,9789025970468",26795,Oosterhuis,"Spiritualiteit,Esoterie algemeen,Theologie algemeen",dut,9789025970468,728,Jij die mij ik maakt,"Oosterhuis, Huub - Jij die Mij Ik Maakt.xml"
"Ransom, Daniel - De Vloek","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110",,,,,,,,"Ransom, Daniel - De Vloek.xml"
"King-Smit, Dick - het waterpaard","9789048804245,9048804248,9789048804245",641740,King Smith,"Fictie 7-9 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789048804245,282,Het waterpaard,"King-Smit, Dick - het waterpaard.xml"
"Bril, Martin - Evelien","9044608223,9044608223,9789044608229",49161,Bril,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789044608229,301,Evelien,"Bril, Martin - Evelien.xml"
"Hartman, Corine - Tweede Adem","9789061120285,9061120284,9789061120285",240320,Hartman,"Literaire thriller,Literaire fictie algemeen",dut,9789061120285,305,Tweede adem,"Hartman, Corine - Tweede Adem.xml"
"Sajet, Gerry - Schoon schip",,,,,,,,,
Gloriejaren,"9789044621471,9044621475,9789044621471",219003,Stevens,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789044621471,301,Gloriejaren,Gloriejaren.xml
"Joris, Lieve - De Golf","9789045703640,9045703645,9789045703640",94414,Joris,"Reisverhalen,Reizen algemeen",dut,9789045703640,508,De golf,"Joris, Lieve - De Golf.xml"
"Baker, Sam - Stiefmoederscollectief","9789047514039,9047514033,9789047514039",210833,Baker,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789047514039,302,Stiefmoederscollectief,"Baker, Sam - Stiefmoederscollectief.xml"
Decksels - Daphne Deckers,"9789043912440,9043912441,9789043912440",63822,Deckers,"Gebundelde columns en interviews,Non-fictie Vrije tijd/algemeen",dut,9789043912440,401,Decksels!,Decksels - Daphne Deckers.xml
Marley & ik_ life and love with the worl - John Grogan,"9789044325942,9044325949,9789044325942",235159,Grogan,"Literaire thriller,Literaire fictie algemeen",dut,9789044325942,305,Marley & me,Marley & ik_ life and love with the worl - John Grogan.xml
"Charriere, Henri - Papillon",,,,,,,,,
"Vance, Jack - Marune sterrenwereld 933","0123456789,0123456789,9780123456786",,,,,,,,"Vance, Jack - Marune sterrenwereld 933.xml"
Dubbel Rood,"9789023468905,9023468902,9789023468905",251548,Martens,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023468905,301,Dubbel rood,Dubbel Rood.xml
"Heinlein, Robert A - Zwerftocht Tussen De Sterren",,,,,,,,,
Maigret en Felicie - Georges Simenon,,,,,,,,,
"Child, Lee - Spervuur",,,,,,,,,
De negen slagen - Dorothy Sayers,"2116972582,2116972582,9782116972587;9022950794,9022950794,9789022950791;2155222432,2155222432,9782155222438;2118639252,2118639252,9782118639259",46364,SAYERS,Non-fictie informatief/professioneel algemeen,dut,9789022950791,600,Omnibus lyk met pince-nez de 9 slagen,De negen slagen - Dorothy Sayers-1.xml
"Helden van, Wim - Inspecteur Arglistig en het bankmysterie",,,,,,,,,
"Heinlein, Robert - Het curieuze beroep van Jonathan Hoag",,,,,,,,,
"Willigen, Adriaan van der - Reize door Frankrijk In gemeenzame brieven",,,,,,,,,
"Rhodan, Perry - 0496 - De vloot van de Clans",,,,,,,,,
"Sellers, Susan - Vanessa en Virginia","9789047201533,9047201531,9789047201533",211546,Sellers,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789047201533,302,Vanessa en Virginia,"Sellers, Susan - Vanessa en Virginia.xml"
"Simenon, Georges - (1951) Maigret op kamers (Maigret en meublé)",,,,,,,,,
"Bagley, Desmond - De Gouden Kiel","2116972582,2116972582,9782116972587;2155222432,2155222432,9782155222438;2118639252,2118639252,9782118639259;0268435456,0268435456,9780268435455",,,,,,,,"Bagley, Desmond - De Gouden Kiel.xml"
"Smit, Susan e.a - Stampvol verhalen",,,,,,,,,
"Hemmerechts, Kristien - Een jaar als (g)een ander","9789045015507,9045015501,9789045015507;9045009552,9045009552,9789045009551",55102,Hemmerechts,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789045015507,301,Een jaar als (g)een ander,"Hemmerechts, Kristien - Een jaar als (g)een ander.xml"
Paradijs vol passie - June Flaum Singer,,,,,,,,,
Mysteries in Friesland - K. Huisman,,,,,,,,,
"Rhodan, Perry - 0183 - Het jungle-leger",,,,,,,,,
"Carrington, Tori - Wanhopig verlangen",,,,,,,,,
"Vreeswijk, Helen - Ontvoerd","9789022323304,9022323307,9789022323304;9789022324233,9022324230,9789022324233",153288,Vreeswijk,"Fictie 15+,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789022324233,285,Ontvoerd,"Vreeswijk, Helen - Ontvoerd-1.xml"
"Reichs, Kathy - Fatale Maandag","9022540707,9022540707,9789022540701",33076,Reichs,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022540701,332,Fatale maandag,"Reichs, Kathy - Fatale Maandag.xml"
"Rhodan, Perry - 0186 - De hypno-bol",,,,,,,,,
Alistair MacLean - De Zwarte Kruisvaarder,,,,,,,,,
"Darlton, Clark - Het spoor door tijd en ruimte",,,,,,,,,
"Verhulst, Dimitri - Dinsdagland","9789025429447,9025429440,9789025429447",40568,Verhulst,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025429447,301,Dinsdagland,"Verhulst, Dimitri - Dinsdagland.xml"
"Hoogstraaten, Marianne & Theo - Lokvrouw","9789460920417,9460920411,9789460920417",234143,Hoogstraaten,"Literaire thriller,Literaire fictie algemeen",dut,9789460920417,305,Lokvrouw,"Hoogstraaten, Marianne & Theo - Lokvrouw.xml"
"Kalse, Egbert & Lent, Daan van - Bankroet","9789089850362,9089850368,9789089850362;8124000077,8124000077,9788124000076",,,,,,,,"Kalse, Egbert & Lent, Daan van - Bankroet-1.xml"
"Baantjer, A C - 40 De Cock en Kogels Voor Een Bruid","9789026125492,9026125496,9789026125492",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026125492,331,De Cock en kogels voor een bruid,"Baantjer, A C - 40 De Cock en Kogels Voor Een Bruid.xml"
"Fitzgerald, Helen - Ex","9789041418333,9041418334,9789041418333",131774,FitzGerald,"Literaire thriller,Literaire fictie algemeen",dut,9789041418333,305,Ex - ebook,"Fitzgerald, Helen - Ex.xml"
"Al regent het varkens_._ De herkomst van Nederlandse spreekwoorden (NL, 2003) - Heidi Aalbrecht",,,,,,,,,
"Aldiss, Brian - Wrede Werelden",,,,,,,,,
Morgenrood - Stephenie Meyer,"9789047516125,9047516125,9789047516125",203638,Meyer,"Fictie 15+,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789047516125,285,Morgenrood,Morgenrood - Stephenie Meyer.xml
"Heinlein, Robert A. - Dan maar de kou in","9022990648,9022990648,9789022990643",46403,HEINLEIN,Non-fictie informatief/professioneel algemeen,dut,9789022990643,600,Dan maar de kou in,"Heinlein, Robert A. - Dan maar de kou in.xml"
De boodschapper - Kader Abdolah,"9789044509137,9044509136,9789044509137;0765218151,0765218151,9780765218155",62238,Abdolah,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789044509137,301,De boodschapper en de Koran,De boodschapper - Kader Abdolah.xml
De Onderhandelaar - Frederick Forsyth,"9022978443,9022978443,9789022978443",962,FORSYTH,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022978443,312,ONDERHANDELAAR,De Onderhandelaar - Frederick Forsyth.xml
"Wallace, Lewis - Ben-Hur Een verhaal van den tijd van Jezus",,,,,,,,,
"Monteyne, Lode - Geerten Basse",,,,,,,,,
"Catton, Eleanor - De Repetitie","9789041415776,9041415777,9789041415776",211357,Catton,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789041415776,302,De repetitie,"Catton, Eleanor - De Repetitie.xml"
"Francis, Dick - Inbreuk","2155222432,2155222432,9782155222438;2116972582,2116972582,9782116972587;2118639252,2118639252,9782118639259",,,,,,,,"Francis, Dick - Inbreuk.xml"
Baantjer - De Cock en de dode harlekijn,"9789026124563,9026124562,9789026124563",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026124563,331,De Cock en de dode harlekijn,Baantjer - De Cock en de dode harlekijn.xml
"Rhodan, Perry - 0047 - Gom antwoordt niet",,,,,,,,,
"Springer, F - Quadriga,een eindspel","9789021439235,9021439239,9789021439235",17745,Springer,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789021439235,301,Quadriga,"Springer, F - Quadriga,een eindspel.xml"
"Rhodan, Perry - 0454 - De plunderaars der sterren",,,,,,,,,
"Borderwijk, Frederik - Karakter",,,,,,,,,
"Vogt, A.E. van - Het rijk van het atoom","9789029019224,9029019220,9789029019224",30057,VOGT,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789029019224,330,Ryk van het atoom en tovenaar van linn,"Vogt, A.E. van - Het rijk van het atoom.xml"
"Bagley, Desmond - De Man Met De Twee Gezichten",,,,,,,,,
"Appel, Rene - Hittegolf 6 spannende verhalen","9789041414618,9041414614,9789041414618",47593,Appel,"Literaire thriller,Literaire fictie algemeen",dut,9789041414618,305,Hittegolf,"Appel, Rene - Hittegolf 6 spannende verhalen.xml"
"Rhodan, Perry - 0025 - De Overhead",,,,,,,,,
"Cook, Robin - Ingreep",,,,,,,,,
