filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
"MacLean, Alistair - Dodentrein",,,,,,,,,
"Drie vertellingen_ Een eenvoudige ziel, - Gustave Flaubert",,,,,,,,,
"Rhodan, Perry - 0058 - Aanval van de onzichtbare","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0058 - Aanval van de onzichtbare.xml"
Profeet van de duivel - Adrian Stone,"9789024531189,9024531187,9789024531189",202808,Stone,"Fantasy,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789024531189,334,Profeet van de duivel,Profeet van de duivel - Adrian Stone.xml
Onder het mes - Tess Gerritsen,"9789034715937,9034715930,9789034715937",,,,,,,,Onder het mes - Tess Gerritsen.xml
"Fleming, Ian - James Bond 007 - The property of a lady",,,,,,,,,
Havank - Havank 24 - (1953) De Schaduw en Sint Christoffel,,,,,,,,,
De Stalen Rat Neemt Wraak - Harry Harrison,,,,,,,,,
"Soderholm, Margit - Als de dauw hangt komt er regen",,,,,,,,,
"Peters, Ellis - 02 Het laatste lijk",,,,,,,,,
"Landell de, Olaf - De Porseleinboom 2 - De Kroon Van De Porseleinboom",,,,,,,,,
"Cookson, Catharine - 4 Mary Ann verliefd",,,,,,,,,
"Dohmen, Joep - Tegen de Onverschilligheid","9789026322327,9026322321,9789026322327",90969,Dohmen,"Filosofie algemeen,Theologie algemeen",dut,9789026322327,730,Tegen de onverschilligheid,"Dohmen, Joep - Tegen de Onverschilligheid.xml"
"Adelmund, Martijn J. - Mysteries in Zeeland",,,,,,,,,
"Hart, Maarten 't - Laatste Zomernacht",,,,,,,,,
De mooiste leugen,"9789085423461,9085423465,9789085423461",251496,Balci,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789085423461,301,De mooiste leugen,De mooiste leugen.xml
"Enquist, anna - Het meesterstuk",,,,,,,,,
"Larsson, Asa - Zonnestorm","9789041417541,9041417540,9789041417541",451490,Larsson,"Literaire thriller,Literaire fictie algemeen",dut,9789041417541,305,Zonnestorm,"Larsson, Asa - Zonnestorm.xml"
"Kamp, Lody van de - Alleen","9789023910466,902391046X,9789023910466;9789023993216,9023993217,9789023993216",35922,KAMP,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023993216,301,Alleen,"Kamp, Lody van de - Alleen-1.xml"
"Fleming, Ian - James Bond 007 - The living daylights",,,,,,,,,
